File_Number,Filename,Analysis_Date,Title,Album,Artist,Genre,Duration_Seconds,Sample_Rate,Estimated_Key,Key_Confidence,Average_Pitch,Pitch_Std,Pitch_Range,Tempo_BPM,Beat_Regularity,Beat_Average_Interval,Beat_Density,Beat_Strength,Average_Spectral_Centroid,Spectral_Centroid_Std,Average_Spectral_Rolloff,Average_Spectral_Bandwidth,Spectral_Contrast_Mean,Spectral_Contrast_Std,Spectral_Entropy,RMS_Energy_Mean,RMS_Energy_Std,Dynamic_Range,Peak_Energy,Valley_Energy,Crest_Factor,Harmonic_Energy,Percussive_Energy,Harmonic_Ratio,Tonal_Energy_Ratio,Average_Chroma,Chroma_Std,Chroma_Max,Chroma_Min,Zero_Crossing_Rate_Mean,Zero_Crossing_Rate_Std,MFCC_1_Mean,MFCC_1_Std,MFCC_1_Delta_Mean,MFCC_1_Delta2_Mean,MFCC_2_Mean,MFCC_2_Std,MFCC_2_Delta_Mean,MFCC_2_Delta2_Mean,MFCC_3_Mean,MFCC_3_Std,MFCC_3_Delta_Mean,MFCC_3_Delta2_Mean,MFCC_4_Mean,MFCC_4_Std,MFCC_4_Delta_Mean,MFCC_4_Delta2_Mean,MFCC_5_Mean,MFCC_5_Std,MFCC_5_Delta_Mean,MFCC_5_Delta2_Mean,MFCC_6_Mean,MFCC_6_Std,MFCC_6_Delta_Mean,MFCC_6_Delta2_Mean,MFCC_7_Mean,MFCC_7_Std,MFCC_7_Delta_Mean,MFCC_7_Delta2_Mean,MFCC_8_Mean,MFCC_8_Std,MFCC_8_Delta_Mean,MFCC_8_Delta2_Mean,MFCC_9_Mean,MFCC_9_Std,MFCC_9_Delta_Mean,MFCC_9_Delta2_Mean,MFCC_10_Mean,MFCC_10_Std,MFCC_10_Delta_Mean,MFCC_10_Delta2_Mean,MFCC_11_Mean,MFCC_11_Std,MFCC_11_Delta_Mean,MFCC_11_Delta2_Mean,MFCC_12_Mean,MFCC_12_Std,MFCC_12_Delta_Mean,MFCC_12_Delta2_Mean,MFCC_13_Mean,MFCC_13_Std,MFCC_13_Delta_Mean,MFCC_13_Delta2_Mean,Onset_Rate,Onset_Strength_Mean,Onset_Strength_Std,Groove_Consistency,Pulse_Clarity
6,06 Race Car Ya-Yas.flac,2024-11-12 08:25:31,Race Car Ya-Yas,Fashion Nugget,CAKE,Indie / Alternative,81.12,44100,C,18.470254175305367,1460.7861328125,1059.1170654296875,3854.361328125,120.18531976744185,0.025627346178721318,0.5051493445060143,1.8737672583826428,1.177836298942566,2957.757750739535,1700.5076107266934,5895.93152994419,3344.546920331823,18.10539968791944,6.062741578621675,-28658052.0,0.17625007033348083,0.08281943947076797,0.41967785358428955,0.41967785358428955,0.0,4.937703609466553,0.021981529891490936,0.006078812293708324,3.6160895365420718,0.5795583888431581,0.4214164912700653,0.30591920018196106,1.0,0.0,0.06882788183761449,0.06430775749417064,-133.91433715820312,102.09691619873047,4.367140427063987e-09,-4.094194316905941e-09,139.3253173828125,46.53810501098633,2.1835702135319934e-09,3.0024092101399447e-09,-31.714250564575195,23.62268829345703,-2.1835702135319934e-09,4.435376954603498e-09,22.867599487304688,20.46717071533203,5.458925533829984e-10,-1.5012046050699723e-09,-2.798403739929199,16.142656326293945,9.553119406646715e-10,7.164839832540792e-10,9.101082801818848,16.516162872314453,1.228258272867322e-09,2.388279851661679e-10,-3.005674123764038,14.200420379638672,1.3647314389686471e-09,8.188388300744975e-10,9.634035110473633,10.780035018920898,5.458925533829984e-10,4.4353770656258007e-10,-5.911886215209961,9.696852684020996,2.729462766914992e-10,4.776559703323358e-10,-4.3045477867126465,11.128097534179688,2.729462766914992e-10,-6.823657194843236e-10,-3.964292526245117,9.663599967956543,8.188388300744975e-10,-5.458925533829984e-10,5.840608596801758,9.122087478637695,1.0235485792264853e-09,0.0,-1.9876545667648315,8.723440170288086,-5.458925533829984e-10,-6.482474002034166e-10,5.239151873767258,1.177836298942566,1.2896959781646729,0.04589621256678153,0.20596127212047577
8,08 Stickshifts And Safetybelts.flac,2024-11-12 08:25:45,Stickshifts And Safetybelts,Fashion Nugget,CAKE,Indie / Alternative,129.14666666666668,44100,E,17.040776946320964,956.2868041992188,838.3963012695312,3852.642333984375,143.5546875,0.021139285358696795,0.42181578513758444,2.245508982035928,1.2815879583358765,2698.608721631692,1583.1731117601696,5713.708851638349,3567.023779821687,17.60986628497163,5.974328084288883,-49316896.0,0.2130974531173706,0.08831507712602615,0.4740876853466034,0.4740876853466034,0.0,4.119317054748535,0.028464460745453835,0.01017722673714161,2.7968778922734914,0.5349334527001323,0.45869556069374084,0.30424991250038147,1.0,0.0,0.045189762492695976,0.0490270186204729,-148.0465850830078,94.19688415527344,2.7433997296100188e-09,2.0575496861852116e-09,132.1298828125,46.03886795043945,1.3716998648050094e-09,5.572530437092382e-09,-0.2852051854133606,24.46917152404785,6.858499324025047e-10,-8.144467877890804e-10,46.67600631713867,22.997634887695312,6.858499324025047e-10,-2.143281108146766e-09,0.8193925023078918,19.707252502441406,-1.2002373539488076e-09,-4.2865620775156543e-11,22.882421493530273,13.573284149169922,0.0,-1.3288342648465346e-09,-4.401755332946777,14.586357116699219,1.2002373539488076e-09,6.429842769328786e-11,6.359116554260254,11.261746406555176,1.7146248310062617e-10,-1.586027975619686e-09,-0.9672357439994812,10.189927101135254,-8.573124155031309e-11,5.35820242342222e-11,8.593367576599121,9.317090034484863,-6.858499324025047e-10,-1.7146248310062617e-10,-4.128300666809082,9.89957046508789,1.2859685538657573e-10,-7.501483323402169e-10,-1.2357358932495117,9.050332069396973,1.7146248310062617e-10,-5.679694492499721e-10,-5.569085597991943,9.339579582214355,0.0,9.001780432171813e-10,5.691203799297956,1.2815879583358765,1.4581372737884521,0.03914192619018595,0.19033703207969666
12,12 She'll Come Back To Me.flac,2024-11-12 08:25:46,She'll Come Back To Me,Fashion Nugget,CAKE,Indie / Alternative,144.97333333333333,44100,G,15.750356068211978,872.4073486328125,751.8406982421875,3854.416015625,95.703125,0.017811522922830135,0.6280997732426304,1.5244182838223121,1.075878620147705,2293.2794418160497,1287.7418622305415,5151.650282700259,3366.4352601893247,19.398159640083158,6.1549166077478645,-63812176.0,0.2483440637588501,0.08861670643091202,0.4704847037792206,0.4704847037792206,0.0,3.4765524864196777,0.04842348396778107,0.005403172690421343,8.962046161770994,0.6964612364898208,0.4682841897010803,0.2885250449180603,1.0,0.0,0.03546137201439497,0.030319223269327174,-148.68751525878906,90.73016357421875,7.331844020797007e-09,2.291201228743489e-09,146.02308654785156,40.740875244140625,1.2219739664587337e-09,-1.412907457698509e-09,3.6014223098754883,21.67540168762207,4.582402457486978e-09,-4.0096020947899547e-10,42.86967849731445,18.79578399658203,-3.6659220103985035e-09,7.446404048927491e-10,3.0578250885009766,17.140766143798828,-6.109869832293668e-10,-4.0096020947899547e-10,26.77145004272461,12.488184928894043,-7.637337429144964e-10,3.627735334355009e-10,0.6774952411651611,10.633167266845703,9.928539101977663e-10,5.823469484411703e-10,7.196882247924805,9.421340942382812,-1.374720670632712e-09,-1.71840083829089e-10,-0.17124934494495392,9.633456230163574,-6.109869832293668e-10,-1.8616010122318727e-10,3.22410249710083,9.22514533996582,-2.6730681557118885e-10,-8.496537917679348e-10,-0.6524565815925598,9.515539169311523,-6.109869832293668e-10,5.155202931206304e-10,-0.7561205625534058,9.981282234191895,8.401070950014855e-10,2.386667807829923e-10,-3.8298499584198,8.286086082458496,0.0,2.0048010473949773e-10,3.5799687298813576,1.075878620147705,1.2885254621505737,0.03911699438987864,0.19552303850650787
9,"09 Perhaps, Perhaps, Perhaps.flac",2024-11-12 08:25:48,"Perhaps, Perhaps, Perhaps",Fashion Nugget,CAKE,Indie / Alternative,144.33333333333334,44100,C,17.89807812643051,1239.9771728515625,954.9417114257812,3854.2431640625,114.84375,0.028380026736748477,0.5269764224866266,1.8013856812933025,1.3126047849655151,2979.674617299373,1718.28609092848,6012.989353489232,3669.0138644635454,18.288944465674767,6.132117016774391,-41950908.0,0.16294226050376892,0.09108269214630127,0.44414204359054565,0.44414204359054565,0.0,4.952924728393555,0.01910761371254921,0.007614557631313801,2.509353055919693,0.5483336047833052,0.4526079297065735,0.30257171392440796,1.0,0.0,0.05722603619942487,0.06490922741897291,-165.65322875976562,108.28815460205078,-4.909520345819374e-09,6.443745537154655e-09,130.14138793945312,47.465415954589844,1.2273800864548434e-09,1.304091279408226e-09,-12.15418529510498,24.72761344909668,2.1479151790515516e-09,1.7643588812177313e-09,26.35268783569336,21.940610885620117,1.841070074171114e-09,8.150570773857169e-10,-0.21227045357227325,18.9224853515625,-7.671125540342771e-11,2.1095594715525579e-10,21.568744659423828,14.47879695892334,1.0739575895257758e-09,9.301239778380932e-10,-2.042107582092285,13.070507049560547,4.602675185427785e-10,1.5725807323008212e-09,8.352007865905762,11.976325035095215,-1.2273800864548434e-09,9.588906751956117e-11,-0.7934325933456421,9.775447845458984,-8.438237886210231e-10,-4.794453167811241e-10,2.675309896469116,11.138012886047363,-3.4520064584597776e-10,4.4108972030443283e-10,-4.607098579406738,10.197432518005371,9.588906335622482e-10,8.150570773857169e-10,4.873067855834961,9.390585899353027,-3.0684502161371086e-10,-1.3424469869072198e-10,-2.3626606464385986,9.249521255493164,-7.671125540342771e-11,-2.3013375927138924e-10,4.939953810623556,1.3126047849655151,1.6299082040786743,0.041798809220119505,0.1874343752861023
2,02 The Distance.flac,2024-11-12 08:25:59,The Distance,Fashion Nugget,CAKE,Indie / Alternative,180.57333333333332,44100,C,18.702085713982584,1387.16796875,1055.59716796875,3854.34375,184.5703125,0.01464819513540274,0.32777056671966365,2.8963302074872628,1.1144107580184937,3445.279546058727,1635.931752091843,7300.02858928471,3875.7633747136683,18.320360846335547,6.95900376481184,-62734112.0,0.18039578199386597,0.08645908534526825,0.4597594141960144,0.4597594141960144,0.0,4.93149995803833,0.019457174465060234,0.008913644589483738,2.1828528220353776,0.48619092249638685,0.49409475922584534,0.2881406247615814,1.0,0.0,0.07490288998207857,0.07206877107264359,-120.44581604003906,98.16065979003906,-7.848162120183133e-09,1.6861285700997541e-09,115.14602661132812,38.017147064208984,1.4715303420231862e-09,2.9430606840463724e-09,-17.542621612548828,23.117460250854492,-1.2262753312786145e-10,5.211669984461764e-10,36.747867584228516,22.892047882080078,-2.452550662557229e-10,1.2262753312786145e-10,-6.975521564483643,18.28261375427246,1.9007266871540196e-09,-5.364954591691173e-10,15.252815246582031,18.563695907592773,0.0,-5.978091910385785e-10,-6.063600063323975,12.513958930969238,3.6788258550579656e-10,-8.737211509846077e-10,12.432320594787598,11.941672325134277,-6.131376517615195e-10,3.5255415253843125e-10,-3.5252888202667236,10.882719993591309,6.131376517615195e-10,-3.908752488346323e-10,6.942869663238525,13.616456031799316,0.0,1.5328441640982682e-11,-2.903292655944824,8.328169822692871,0.0,2.8357616255192397e-10,4.06266975402832,9.799600601196289,-6.744514391421319e-10,-3.6788258550579656e-10,-2.6170482635498047,9.667434692382812,4.138679121634681e-10,3.985394791961028e-10,2.6914273056191393,1.1144107580184937,1.1535134315490723,0.05580911393114801,0.11859598755836487
3,03 Friend Is A Four Letter Word.flac,2024-11-12 08:26:10,Friend Is A Four Letter Word,Fashion Nugget,CAKE,Indie / Alternative,202.18666666666667,44100,C,13.586807596951726,1125.8533935546875,878.843505859375,3854.395263671875,132.51201923076923,0.01896336591499607,0.45411597019760286,2.0822342389870747,0.9226697683334351,2227.666846549212,1297.9725231864024,4494.730650436047,3121.676113212918,19.15551942920056,6.174986825039787,-61833748.0,0.1661888211965561,0.06864745169878006,0.3951167166233063,0.3951167166233063,0.0,5.185686111450195,0.021558348089456558,0.0031622517853975296,6.81740382194331,0.6667940203153006,0.42530205845832825,0.2853620946407318,1.0,0.0,0.043448451631136954,0.036188768694679005,-159.62477111816406,98.38682556152344,3.504746270976966e-09,-3.018736594029292e-09,159.30715942382812,41.147613525390625,0.0,1.0746975531716885e-09,-9.914551734924316,22.851564407348633,1.752373135488483e-09,1.7797539830777254e-10,26.536836624145508,19.14634895324707,1.0952332374358775e-09,1.437493568623438e-09,-1.7050714492797852,16.139328002929688,-4.3809328387212076e-10,1.2732086496214379e-09,8.623140335083008,17.45952033996582,0.0,-2.7038568606307933e-10,-7.220616340637207,12.15239429473877,-1.0952332374358775e-09,-3.8333161644921177e-10,2.4002113342285156,10.928638458251953,7.666632328984235e-10,-8.556509667467793e-11,-6.713557720184326,11.454347610473633,7.666632328984235e-10,4.038672452022496e-10,0.745548665523529,10.690771102905273,-5.749974385516055e-10,-4.6547410370578746e-10,-4.757618427276611,8.992012977600098,5.476166187179388e-10,4.4493850270832525e-10,6.71240758895874,8.434327125549316,7.666632328984235e-10,-3.148795391094694e-10,2.6187899112701416,8.912637710571289,-6.571398980526055e-10,0.0,3.7341730414138747,0.9226697683334351,0.936894416809082,0.05224324087236626,0.14410538971424103
10,10 It's Coming Down.flac,2024-11-12 08:26:11,It's Coming Down,Fashion Nugget,CAKE,Indie / Alternative,224.42666666666668,44100,E,17.521769472432233,1333.7105712890625,942.2671508789062,3854.322509765625,120.18531976744185,0.013211474527489407,0.4994720244687022,1.920449144486692,1.0325950384140015,2573.1283369424846,1247.8062570445286,5257.677248291281,3130.3657323374723,18.685070036216757,6.2150843938904305,-80681552.0,0.18370521068572998,0.0770876556634903,0.4233735203742981,0.4233735203742981,0.0,4.794394493103027,0.02389485575258732,0.005722375120967627,4.175688386359749,0.6020199407888999,0.48210227489471436,0.28179094195365906,1.0,0.0,0.05370133908941596,0.037222516700194004,-131.66256713867188,86.5093002319336,9.47211553636862e-09,-4.4400541576727903e-10,151.1102294921875,39.60771560668945,-1.5786859597355374e-09,1.3443497426379736e-09,-32.1594123840332,23.464092254638672,-7.893429798677687e-10,2.6393656149537037e-09,25.027738571166992,27.224119186401367,9.866787387124987e-10,5.303398276090832e-10,-7.873989582061768,16.568384170532227,9.866787248347109e-11,-4.3167194818671817e-10,18.19161605834961,14.514915466308594,1.9733574496694217e-10,2.343361893419882e-10,-3.033975601196289,12.778718948364258,-5.42673295189644e-10,1.2950157612934277e-10,14.692420959472656,11.313504219055176,-1.9733574496694217e-10,2.0966922642529084e-10,-0.21248264610767365,9.271501541137695,-6.906751282009793e-10,1.7266878205024483e-10,2.5332019329071045,10.34447193145752,4.933393693562493e-10,-2.466696812086777e-11,0.6042783856391907,9.536969184875488,-5.920072210230387e-10,-4.563389111034155e-10,4.731710910797119,9.683309555053711,0.0,4.933393624173554e-11,2.711273431777954,8.429465293884277,-4.933393624173554e-11,-6.166742116953117e-10,3.408685836501901,1.0325950384140015,1.1783210039138794,0.045698107218574514,0.15455718338489532
5,05 Daria.flac,2024-11-12 08:26:11,Daria,Fashion Nugget,CAKE,Indie / Alternative,224.54666666666665,44100,C,14.858404005885124,1260.2862548828125,993.0648803710938,3854.315185546875,123.046875,0.02162234688174331,0.49470952328095186,1.914969419868179,1.0947186946868896,3185.3558630701723,1877.5278121172491,6739.966058886401,3699.3783853824816,18.645166058233706,6.250848899839408,-65741160.0,0.15256282687187195,0.07963111996650696,0.4482700526714325,0.4482700526714325,0.0,5.669137477874756,0.017367294058203697,0.004668781533837318,3.719877137181365,0.5864004616742102,0.4289989471435547,0.30520033836364746,1.0,0.0,0.06711283268057494,0.07128372824379905,-159.94268798828125,120.82247924804688,-0.00037153466837480664,-2.4956820197985508e-05,126.81118774414062,43.386268615722656,-0.0005210117669776082,-3.4581062209326774e-05,-12.228095054626465,25.434415817260742,-0.0005079533439129591,-3.253128670621663e-05,32.38092803955078,21.22404670715332,-0.00048679293831810355,-2.9318631277419627e-05,-6.0673909187316895,16.707618713378906,-0.00045839411905035377,-2.5237472073058598e-05,11.240485191345215,16.594467163085938,-0.00042387735447846353,-2.0654628315242007e-05,-2.708049774169922,13.990286827087402,-0.000384537415811792,-1.5983758203219622e-05,9.649724960327148,10.510663032531738,-0.0003417674743104726,-1.1642755453067366e-05,-3.5893325805664062,9.74849796295166,-0.00029694949625991285,-8.019011147553101e-06,2.2674925327301025,10.918734550476074,-0.0002513811632525176,-5.429714747151593e-06,-6.73714017868042,9.816975593566895,-0.00020619345013983548,-4.095348685950739e-06,5.84225606918335,9.29478931427002,-0.00016229647735599428,-4.116699074074859e-06,-0.20137062668800354,9.80076789855957,-0.00012033603707095608,-5.464686637424165e-06,4.230746392732024,1.0947186946868896,1.2009004354476929,0.04163454530094991,0.19627980887889862
4,04 Open Book.flac,2024-11-12 08:26:12,Open Book,Fashion Nugget,CAKE,Indie / Alternative,224.93333333333334,44100,F,16.46786842153685,1046.502685546875,801.5381469726562,3853.96142578125,103.359375,0.027701367088051185,0.5854133168418882,1.569353882631891,1.0532909631729126,2475.623254622572,1283.9730416618793,5211.488603830645,3341.1298255588445,19.187778148952205,6.182696333519954,-95064048.0,0.21682336926460266,0.0973687544465065,0.5363060235977173,0.5363060235977173,0.0,4.030335903167725,0.038476381450891495,0.005068107042461634,7.591864254117388,0.6810517797602271,0.444023996591568,0.28960123658180237,1.0,0.0,0.04428245967741935,0.03591752984202416,-137.0630645751953,99.54607391357422,0.00029122355044819415,-8.749758853809908e-05,146.54452514648438,41.29937744140625,0.00040820628055371344,-0.0001195739969261922,-9.446730613708496,24.966033935546875,0.0003977630694862455,-0.00010793283581733704,25.84205436706543,24.248519897460938,0.0003819544508587569,-9.116838191403076e-05,-2.158277988433838,21.39609146118164,0.00036269333213567734,-7.247502799145877e-05,20.557397842407227,14.599424362182617,0.000341915205353871,-5.5094933486543596e-05,-3.1567206382751465,12.333893775939941,0.00032105023274198174,-4.145661660004407e-05,1.616365671157837,12.05492877960205,0.00030069431522861123,-3.2618198019918054e-05,-8.701722145080566,10.007115364074707,0.00028052908601239324,-2.8065183869330212e-05,0.24631376564502716,10.620078086853027,0.0002594920515548438,-2.596419471956324e-05,-5.038674354553223,10.815521240234375,0.00023617499391548336,-2.375533767917659e-05,5.166260719299316,9.774038314819336,0.00020929137826897204,-1.892474938358646e-05,-0.49938786029815674,9.294177055358887,0.00017812229634728283,-9.73173609963851e-06,4.459098992294013,1.0532909631729126,1.128482460975647,0.040758340805120814,0.15636089444160461
11,11 Nugget [Edit].flac,2024-11-12 08:26:14,Nugget [Edit],Fashion Nugget,CAKE,Indie / Alternative,238.38666666666666,44100,G#,18.034340065613506,1368.79150390625,1031.81591796875,3854.35986328125,191.40625,0.014671117403132547,0.3130983631801589,3.154538844454388,1.1560685634613037,2385.3008578234458,1244.4856269705754,4555.963509008365,3036.2684485492073,17.75357176846435,6.169592651987091,-86851896.0,0.19020263850688934,0.08123372495174408,0.48577654361724854,0.48577654361724854,0.0,4.5965094566345215,0.02233278751373291,0.007695662323385477,2.9019967723465014,0.5220849260349673,0.4587600529193878,0.2936122417449951,1.0,0.0,0.05062567916585497,0.04364250782884091,-136.8738555908203,77.1066665649414,-2.9725395478408245e-09,-1.0682564832720232e-09,156.64683532714844,38.616859436035156,-7.431348869602061e-10,1.7533339224939937e-09,-31.533245086669922,26.618513107299805,5.573511652201546e-10,2.020398071067575e-09,29.18143081665039,20.097867965698242,-1.8578372174005153e-10,-2.5545263127035867e-10,10.252410888671875,19.136850357055664,-2.6938640207418985e-09,-1.555938711206295e-09,-0.7971926927566528,14.833291053771973,-3.7156744348010307e-10,-3.4834449214038443e-10,6.734765529632568,12.03266429901123,5.573511652201546e-10,-1.2772631563517933e-10,0.27055153250694275,10.940001487731934,-2.5545263127035867e-10,-4.586535873318809e-10,0.11287524551153183,10.380091667175293,6.502430260901804e-10,1.161148260875322e-11,4.024829864501953,9.987130165100098,-4.644593043501288e-11,-6.386315365425332e-10,-3.4136078357696533,9.33753776550293,-4.1801337391511595e-10,5.979913786369195e-10,6.671922206878662,10.858406066894531,0.0,3.4834449214038443e-10,-6.707057476043701,9.247095108032227,-9.289186087002577e-10,6.966889565251932e-11,4.832485038313105,1.1560685634613037,1.1117135286331177,0.047417080576990976,0.1377895474433899
