Duration_Seconds,Sample_Rate,Estimated_Key,Key_Confidence,Average_Pitch,Pitch_Std,Pitch_Range,Tempo_BPM,Beat_Regularity,Beat_Average_Interval,Beat_Density,Beat_Strength,Average_Spectral_Centroid,Spectral_Centroid_Std,Average_Spectral_Rolloff,Average_Spectral_Bandwidth,Spectral_Contrast_Mean,Spectral_Contrast_Std,Spectral_Entropy,RMS_Energy_Mean,RMS_Energy_Std,Dynamic_Range,Peak_Energy,Valley_Energy,Crest_Factor,Harmonic_Energy,Percussive_Energy,Harmonic_Ratio,Tonal_Energy_Ratio,Average_Chroma,Chroma_Std,Chroma_Max,Chroma_Min,Zero_Crossing_Rate_Mean,Zero_Crossing_Rate_Std,MFCC_1_Mean,MFCC_1_Std,MFCC_1_Delta_Mean,MFCC_1_Delta2_Mean,MFCC_2_Mean,MFCC_2_Std,MFCC_2_Delta_Mean,MFCC_2_Delta2_Mean,MFCC_3_Mean,MFCC_3_Std,MFCC_3_Delta_Mean,MFCC_3_Delta2_Mean,MFCC_4_Mean,MFCC_4_Std,MFCC_4_Delta_Mean,MFCC_4_Delta2_Mean,MFCC_5_Mean,MFCC_5_Std,MFCC_5_Delta_Mean,MFCC_5_Delta2_Mean,MFCC_6_Mean,MFCC_6_Std,MFCC_6_Delta_Mean,MFCC_6_Delta2_Mean,MFCC_7_Mean,MFCC_7_Std,MFCC_7_Delta_Mean,MFCC_7_Delta2_Mean,MFCC_8_Mean,MFCC_8_Std,MFCC_8_Delta_Mean,MFCC_8_Delta2_Mean,MFCC_9_Mean,MFCC_9_Std,MFCC_9_Delta_Mean,MFCC_9_Delta2_Mean,MFCC_10_Mean,MFCC_10_Std,MFCC_10_Delta_Mean,MFCC_10_Delta2_Mean,MFCC_11_Mean,MFCC_11_Std,MFCC_11_Delta_Mean,MFCC_11_Delta2_Mean,MFCC_12_Mean,MFCC_12_Std,MFCC_12_Delta_Mean,MFCC_12_Delta2_Mean,MFCC_13_Mean,MFCC_13_Std,MFCC_13_Delta_Mean,MFCC_13_Delta2_Mean,Onset_Rate,Onset_Strength_Mean,Onset_Strength_Std,Groove_Consistency,Pulse_Clarity
243.3828571,44100,B,13.10826529,880.1987915,717.7203979,3854.375732,77.13386194,0.04111319694,0.7716406121,1.244952104,0.9294859171,1338.68615,888.906762,2498.149436,2105.829744,22.61681587,12.27031246,-25767738,0.08686292917,0.04081167653,0.2912931442,0.2912931442,0,10.30637836,0.00600830419,0.0008642474422,6.952063959,0.6522907873,0.4584769905,0.2906703949,1,0,0.02786557089,0.02715394855,-276.5379944,71.78486633,5.82E-09,1.68E-09,184.4578552,39.46056747,0,-1.35E-09,3.001363993,2.28E+01,1.32E-09,1.66E-09,18.04305077,21.92643929,0.00E+00,-3.53E-10,12.77992344,1.72E+01,2.09E-09,4.89E-10,21.01579857,13.07108212,5.46E-10,8.81E-10,6.51231575,1.16E+01,5.46E-10,9.33E-10,9.073379517,1.07E+01,-7.05E-10,-3.24E-10,2.372677565,9.93E+00,3.64E-10,4.38E-10,2.053659678,9.06E+00,1.82E-10,4.55E-10,-6.703217506,9.15E+00,4.55E-11,1.88E-10,-3.841625929,1.02E+01,-9.10E-11,9.10E-11,-3.206005335,8.01E+00,2.27E-10,9.38E-11,2.855583208,9.29E-01,9.43E-01,0.04391594948,0.1671233177
181.4987755,44100,C,17.66912794,1156.552002,909.9971313,3854.406738,129.1992188,0.009639808673,0.4610010508,2.038581246,1.0966959,2499.637937,1115.185015,5306.817554,3081.935678,22.47549448,14.20638118,-29537406,0.1113167554,0.04755195603,0.3103760183,0.3103760183,0,8.352279663,0.008757038973,0.002078757621,4.212630882,0.5976056339,0.4368836582,0.2942728996,1,0,0.05116071893,0.03493091976,-191.6917877,76.98175812,-7.81E-09,-3.48E-09,148.5009003,35.23551941,1.95E-09,8.24E-10,-21.90433121,2.04E+01,4.88E-10,-4.58E-10,42.90964127,2.01E+01,-2.20E-09,-1.22E-10,-13.74298,1.76E+01,1.22E-10,-3.97E-10,34.969841,1.30E+01,4.88E-10,7.32E-10,-7.0584445,1.26E+01,-9.76E-10,-1.22E-10,12.02230358,1.10E+01,1.34E-09,5.19E-10,-5.414422512,1.07E+01,0.00E+00,7.32E-10,4.882711411,9.61E+00,1.10E-09,-9.65E-10,-5.717401981,9.24059391,-5.49E-10,-1.19E-09,-2.456153393,9.21E+00,9.76E-10,-5.03E-10,-0.8366621733,8.28E+00,-3.05E-10,-6.10E-10,5.520698402,1.10E+00,1.26E+00,0.0376779695,0.2179088444
213.4465306,44100,G,17.7891805,1378.303711,1014.979431,3854.413086,139.6748311,0.01539689278,0.435069905,2.239436727,1.191114187,2777.140114,1254.005605,5669.99749,3102.575116,21.70976946,14.32564078,-40160892,0.1101615801,0.04816330224,0.3398101628,0.3398101628,0,8.829613686,0.006767335348,0.002961757826,2.284904951,0.4681501937,0.4777034521,0.2835610211,1,0,0.07079687712,0.04934995617,-171.4469299,88.9960022,1.66E-09,-1.24E-09,144.9369507,42.00043106,-3.32E-09,2.46E-10,-28.81552505,2.30E+01,1.87E-09,5.58E-10,38.33023071,2.41E+01,-8.30E-10,4.80E-10,-12.16441917,2.01E+01,-8.30E-10,9.08E-11,27.33683968,1.57E+01,1.35E-09,4.54E-10,-8.754548073,1.21E+01,-8.30E-10,4.08E-10,11.89068508,1.33E+01,1.35E-09,1.56E-10,-6.230920792,1.04E+01,7.78E-10,-3.44E-10,7.81025219,1.03E+01,-1.45E-09,-2.85E-10,-3.034885883,9.74E+00,2.07E-10,2.07E-10,1.115512013,9.75E+00,-4.67E-10,1.23E-09,-4.115023136,8.36E+00,7.78E-10,1.04E-09,4.090017287,1.19E+00,1.36E+00,0.04573645219,0.1762568802
164.4930612,44100,C,15.75231727,1058.841187,792.7316284,3854.24292,90.66611842,0.009443731916,0.6594567639,1.410393838,1.042824268,1937.678417,1055.505548,3862.770018,2547.884338,22.6478524,13.41196386,-29998542,0.1185510829,0.04889016971,0.34726578,0.34726578,0,7.410255432,0.01050117426,0.001638805843,6.407820463,0.6385450384,0.4465469122,0.2864716053,1,0,0.0420641081,0.02987788454,-208.1086578,87.9475174,2.15E-09,1.75E-09,167.3879547,45.99785995,3.23E-09,-5.38E-10,-16.27558136,2.04E+01,1.48E-09,-9.09E-10,26.0868988,2.51E+01,-1.62E-09,-4.71E-10,-2.208611488,2.04E+01,1.95E-09,6.39E-10,26.80171585,1.46E+01,-2.69E-10,-6.39E-10,-2.554632902,1.10E+01,-3.37E-11,-6.39E-10,3.200061083,1.30E+01,-7.24E-10,-1.68E-10,-0.9054957032,1.23E+01,1.08E-09,-2.36E-10,4.482258797,1.09E+01,9.09E-10,-2.69E-10,-7.036502361,1.00E+01,1.35E-10,3.03E-10,0.5565268397,1.11E+01,1.08E-09,9.09E-10,-2.206062317,8.90E+00,-6.73E-11,6.23E-10,2.887659798,1.04E+00,1.36E+00,0.04810229299,0.1189467385
155.5330612,44100,A,16.69244376,1263.078247,928.9666138,3853.926025,123.046875,0.01255795261,0.4850984604,1.960997859,1.048871636,2398.854948,1041.172057,4961.771092,2844.157679,22.31334987,13.9063414,-42161720,0.1454951316,0.05820281804,0.494638443,0.494638443,0,6.820466042,0.01428849995,0.003372775856,4.236421315,0.5818426917,0.4032739401,0.2887614965,1,0,0.0553362941,0.03308932296,-144.318161,76.33196259,-9.11E-09,-8.54E-10,149.9173737,36.42926788,4.56E-09,-1.53E-09,-27.43892288,1.93E+01,0.00E+00,3.56E-10,32.81663895,1.67E+01,1.14E-09,-2.10E-09,-10.13993931,16.37831879,8.54E-10,1.25E-10,17.15076065,1.32E+01,5.69E-10,4.09E-10,-4.784901142,1.17E+01,-3.56E-10,-8.01E-11,3.143625975,1.18E+01,-5.69E-10,-1.31E-09,-2.086143732,1.09E+01,-1.42E-10,-4.45E-11,3.875716209,1.07E+01,-8.54E-10,-9.08E-10,-3.088703871,1.01E+01,1.42E-10,-7.12E-11,1.307527423,1.00E+01,-1.49E-09,-4.00E-10,-3.364243269,8.35E+00,1.42E-10,-4.89E-10,4.777119374,1.05E+00,1.17E+00,0.03798837503,0.210528031
194.2726531,44100,C,18.82099279,1191.916748,804.5407715,3853.916504,143.5546875,0.01143618297,0.4151133541,2.378101049,1.091277957,2006.827834,852.3293131,3913.122432,2630.118177,22.42705038,13.28264015,-32843556,0.1099713817,0.047318317,0.3448355198,0.3448355198,0,8.468617439,0.007736204658,0.002388908993,3.238383863,0.5397337262,0.45950073,0.2808282673,1,0,0.04752449518,0.02395671208,-199.8123474,70.74815369,-1.28E-08,5.98E-09,169.8395996,35.24173737,1.82E-09,-6.84E-10,-22.94017601,1.94E+01,2.28E-10,1.41E-09,15.607728,2.48E+01,-9.12E-10,-6.55E-10,-0.5770218372,2.05E+01,1.03E-09,9.26E-11,32.27827835,1.55E+01,-4.56E-10,-8.83E-10,-2.075043201,1.07E+01,5.98E-10,-3.56E-10,7.004035473,1.26E+01,-4.56E-10,2.71E-10,-3.63334012,9.96E+00,-6.84E-10,6.20E-10,7.227218151,9.82E+00,-7.41E-10,-9.12E-10,-3.36402154,8.75E+00,-3.42E-10,-1.48E-10,-0.5082243085,9.21E+00,-3.42E-10,2.14E-11,-1.704938769,8.06E+00,-4.27E-10,-4.84E-10,4.601779952,1.09E+00,1.34E+00,0.03499500071,0.2204342335
162.0636735,44100,C,17.614366,1253.42041,916.319397,3854.067139,105.46875,0.04061714127,0.556238591,1.72771599,1.196200371,2523.407511,1019.441273,5242.008417,3006.81291,21.91111745,14.31572502,-32752574,0.1220688075,0.05939360335,0.3766255677,0.3766255677,0,7.80714798,0.009470242076,0.003426543437,2.763788632,0.5138573296,0.4198028147,0.3001967072,1,0,0.05608581718,0.03703266278,-179.3502808,85.90435028,-2.19E-09,-3.14E-09,144.7470703,38.73670959,0,-6.83E-11,-26.77270317,2.16E+01,-1.09E-09,6.83E-10,37.41088104,21.07906342,-2.73E-10,-3.24E-10,-13.16433144,1.73E+01,1.78E-09,2.39E-09,28.89650726,1.44E+01,4.10E-10,1.23E-09,-4.674143314,1.11E+01,1.16E-09,-4.44E-10,7.204760075,1.16E+01,1.37E-09,-4.10E-10,-4.054647923,9.74E+00,-1.09E-09,7.51E-10,5.799436092,1.12E+01,1.09E-09,-2.56E-10,-5.721344471,9.81E+00,6.83E-10,-4.78E-10,0.7819538116,8.72E+00,-3.42E-10,3.59E-10,1.97285521,8.74E+00,6.83E-11,8.37E-10,5.152295898,1.20E+00,1.28E+00,0.03733884102,0.1723505706
165.4595918,44100,G,16.34504546,1153.935669,837.3504639,3854.35498,117.4538352,0.02351281211,0.5066171923,1.867525458,1.094283581,2080.849184,951.8870555,4250.11219,2609.950832,21.88205958,13.52971149,-29408298,0.1131570712,0.04534605891,0.3079554737,0.3079554737,0,8.15766716,0.008957992308,0.001784452586,5.020022316,0.6027726278,0.4353455007,0.2893415093,1,0,0.04479264423,0.02111702925,-188.5648956,79.07008362,0,1.54E-09,167.2025146,38.87812042,1.07E-09,5.35E-10,-27.40382767,18.84715843,1.34E-09,0,33.34237289,2.09E+01,-5.35E-10,-1.84E-09,-8.646043777,1.77E+01,-9.37E-10,-1.67E-09,26.24166489,1.51E+01,9.37E-10,-8.70E-10,-5.343946934,9.54E+00,1.34E-10,3.01E-10,4.895040989,1.03E+01,3.01E-10,-4.52E-10,-3.120518208,8.59E+00,-4.68E-10,-2.84E-10,-0.6435925364,8.56E+00,1.00E-10,5.35E-10,-4.015673637,8.11E+00,4.01E-10,-4.52E-10,-3.386036873,8.10E+00,-3.35E-10,8.36E-10,-2.169916868,7.13E+00,-1.34E-10,4.10E-10,5.493788483,1.09E+00,1.30E+00,0.03854636259,0.2084535211
266.5012245,44100,E,12.40774826,853.1103516,720.5546265,3854.102051,178.205819,0.01320128772,0.3407458405,2.806741325,1.022028446,1820.210396,1120.865203,3797.74129,2560.495804,22.28975368,13.45356702,-46710144,0.129574582,0.06109695137,0.3033575416,0.3033575416,0,6.744458199,0.01610150374,0.00103693665,15.52795167,0.784565083,0.5347934365,0.2734147906,1,0,0.02847489058,0.02802074604,-229.4268341,98.57723236,5.32E-09,-3.12E-09,160.7192383,45.20874786,6.65E-10,-1.04E-10,-16.24014282,1.60E+01,0.00E+00,-1.45E-10,36.77746964,1.94E+01,-3.32E-10,-1.53E-09,2.001059055,16.47446632,1.95E-09,-7.27E-10,26.31169128,1.45E+01,1.16E-09,-3.32E-10,6.129221439,1.11E+01,-6.65E-10,3.22E-10,11.86073017,1.02E+01,-1.08E-09,-2.70E-10,-0.2804406583,9.88E+00,1.25E-10,-2.18E-10,4.963068962,8.61E+00,-1.04E-10,-2.39E-10,-1.716929913,8.12E+00,-2.91E-10,-1.22E-10,2.035056114,7.94E+00,1.45E-10,3.89E-10,0.8374706507,6.74E+00,-1.25E-10,6.02E-10,5.290782445,1.02E+00,9.89E-01,0.0399228529,0.1262418777
212.4277551,44100,C,11.47469601,933.536438,730.3481445,3854.196777,143.5546875,0.02465427157,0.4179348441,2.250176771,0.7686274648,1288.181029,693.0441022,2379.889668,1994.496485,23.56946479,12.39514819,-22502206,0.08905697614,0.04967375845,0.3360117674,0.3360117674,0,8.937267303,0.008195843548,0.0004566516436,17.94768916,0.7881222267,0.4649667144,0.2874449492,1,0,0.02658869929,0.021147806,-275.8924561,69.11989594,0,5.99E-10,179.7657166,34.98983765,-8.34E-10,-3.78E-10,-2.948760986,22.89297295,1.41E-09,1.50E-10,16.02280235,1.99E+01,-1.56E-10,1.71E-09,11.7013073,1.60E+01,1.04E-09,4.30E-10,15.364007,1.37E+01,1.04E-10,4.30E-10,6.70419836,1.07E+01,-2.08E-10,1.56E-10,7.950754642,1.06E+01,-1.56E-10,-1.63E-10,6.949645519,8.43E+00,6.25E-10,-1.63E-10,2.632121086,8.55E+00,-3.39E-10,-3.13E-10,0.3648052216,9.01E+00,1.82E-10,-1.30E-10,-1.944126844,8.50E+00,4.17E-10,-3.84E-10,-1.103285789,7.14E+00,-4.43E-10,2.74E-10,2.330203978,7.69E-01,7.15E-01,0.04366424299,0.1686075032
